Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
mc_rbo,poker-8-9_vs_6,-,keel,0.9858585858585858,0.0025196346038882,0.7929133447777514,0.24603636887194294,0.58,0.0748331477354788,0.6202401134687336,0.11066860516949616,0.3180256552473919,0.24343311731247055,0.949931506849315,0.06446890292651718,0.3035189293150492,0.2568688753904045,0.6556784087372323,0.17982606561903788,0.762,0.014696938456699083,0.24528157502655853,0.21827015602776553,4.319238433998544,3.2534065526790803,
mc_ccr,poker-8-9_vs_6,-,keel,0.9919191919191921,0.00693308427002493,0.8959481978126045,0.20220088208244016,0.76,0.20591260281974003,0.7884359486788789,0.19538478293975672,0.6222583808270635,0.3646841201512361,0.9710273972602739,0.05524625435949809,0.6146826085228648,0.37524817243652503,0.8952188552188552,0.13417859476880425,0.86,0.1150651989091402,0.5793673538075969,0.38783367389560974,0.07161293460521848,0.0032540950082796203,
ocsv_us,poker-8-9_vs_6,-,keel,0.29494949494949496,0.04702246532012415,0.505911043292394,0.007585622050710208,0.5628082191780821,0.0942866373120029,0.23941155555749338,0.026909755667705603,0.4759795042258702,0.05120150142989676,0.5951369863013698,0.10294623082091299,0.03858397205189463,0.05332293349766783,0.09063096272761453,0.09473316776997202,0.6592731985363106,0.1497006255901919,0.005298984508335369,0.00918685943699374,4.164727509184741,1.561106697000518,
shsampler,poker-8-9_vs_6,-,keel,0.9932659932659931,0.005634074252754731,0.8966146571704835,0.20252000785232047,0.8,0.16733200530681513,0.8371864584266584,0.17720746865331408,0.6950486612169133,0.34220952432767926,0.9924657534246576,0.01390090387499824,0.6873629082902772,0.35405296801493313,0.8882967607105539,0.17406656601588777,0.868,0.08328265125462807,0.6761614099230405,0.3511648740779042,0.07539097281405702,0.0002881648806755529,
mc_evhs,poker-8-9_vs_6,-,keel,0.9878787878787879,0.003433683174136588,0.8939165743524097,0.20117088670908187,0.64,0.10198039027185571,0.695747712975041,0.12749142919472567,0.4666204337753518,0.24993073197048526,0.9337671232876714,0.050724530994985896,0.4579104274419783,0.2600136025406699,0.5685970276140554,0.23208172787462059,0.78,0.032863353450309954,0.39464218883730023,0.2522011491631366,0.282218545593787,0.3543782363353718,
nromm,poker-8-9_vs_6,-,keel,0.9905723905723907,0.003298976084556481,0.9952565042626939,0.0016508186494686606,0.7200000000000001,0.09797958971132714,0.7912663616095108,0.08920075645312049,0.6478014765201803,0.14266480651609323,0.9828767123287673,0.0226887115505896,0.6449550960206448,0.14319787192913985,0.856058455490705,0.190943182662955,0.808,0.052306787322488134,0.5837138012864245,0.17748496237971675,3.5942029028083198,0.9976620097018263,
orem_m,poker-8-9_vs_6,-,keel,0.9892255892255892,0.0032989760845564945,0.8945853787500276,0.20150249833243142,0.68,0.09797958971132713,0.7437051583041097,0.12879593495242836,0.5407172083888391,0.2604321419337116,0.9091095890410958,0.11292952448526973,0.5319303613189705,0.27164882884039,0.6736370851370852,0.2568185672687102,0.792,0.028565713714171388,0.48972001157664746,0.2545416949413055,0.07746381141478195,0.005216219089280686,
glos,poker-8-9_vs_6,-,keel,0.9912457912457914,0.0016494880422782269,0.9955886083246858,0.0008246869651708747,0.74,0.048989794855663606,0.819212757810417,0.044156753631878196,0.689311986916799,0.06963465152361217,0.9822602739726027,0.02184534253404424,0.6863218594458995,0.06992120007119873,0.8978691588785047,0.1316020384149861,0.8099999999999999,0.024494897427831747,0.6390806253873891,0.08795500694272927,0.06651850419584662,0.0008364255828953064,
mc_nro,poker-8-9_vs_6,-,keel,0.9838383838383837,0.0013468013468013406,0.5919146419146418,0.20066430066430063,0.52,0.039999999999999994,0.5292574754859499,0.06700391531824951,0.11474094038133861,0.16623632755930964,0.9433561643835617,0.09239230974684273,0.08883632079218437,0.1776726415843687,0.7222515632515634,0.17761187010070043,0.752,0.0040000000000000036,0.06591422121896165,0.1318284424379233,151.18121616558636,33.62474426675849,
easy_bpnn,poker-8-9_vs_6,-,keel,0.33804713804713804,0.07788192482047655,0.5013932246655267,0.008006098762909395,0.5060958904109589,0.10524778865290126,0.26142750566995676,0.04665519123103888,0.4471181792832681,0.08884566918256355,0.5157534246575344,0.15579986295823392,0.006508236610001722,0.05751885914802132,0.035728628601767835,0.02216354189330863,0.5654978185400639,0.14704140585086484,-0.0002669960533998372,0.011508550990736421,0.4205212528002448,0.03238475760804603,
amcs,poker-8-9_vs_6,-,keel,0.8915824915824915,0.06442864538647806,0.5073328704850664,0.017968643156817333,0.5517123287671233,0.0732710261471684,0.49574658202800725,0.029978355018849465,0.33064549739342264,0.253396638539897,0.5756849315068493,0.07844663806344128,0.04240516824208641,0.06886489479429753,0.03161198083669065,0.010718599690126262,0.6883167808219178,0.04774668539513957,0.027939386385720466,0.05197760622866582,0.03170659580500797,0.0004241466420472594,
des_mi,poker-8-9_vs_6,-,keel,0.9919191919191919,0.004040404040404052,0.9565985763314104,0.08002587940064228,0.7993150684931507,0.08945320857675428,0.8500145337070963,0.07656073835378549,0.7651409658046904,0.11720658957262814,0.9933561643835617,0.0051964593803810145,0.7274825365205004,0.13570349019065703,0.7897701830333409,0.13513085043441125,0.8470434415462563,0.05399041536755962,0.7004167667666862,0.1528012294874866,0.09989284900948406,0.00718337222013276,
drcw_aseg,poker-8-9_vs_6,-,keel,0.9845117845117844,0.0026936026936027254,0.5922490441134508,0.2013331050619186,0.54,0.07999999999999999,0.5532361981504842,0.11496136064731814,0.1517893276880822,0.24033310217279685,0.8751369863013698,0.10754942742508354,0.12584628773068046,0.2516925754613609,0.45886715526373967,0.3380527765355065,0.758,0.016000000000000014,0.11345313258863525,0.22690626517727047,0.043620302795898167,0.004005395009080554,
pt_bagging,poker-8-9_vs_6,-,keel,0.983164983164983,1.1102230246251565e-16,0.4915824915824915,5.551115123125783e-17,0.5,0.0,0.4957555178268251,5.551115123125783e-17,0.0316227766016838,0.0,0.8585616438356165,0.11825972732728951,0.0,0.0,0.39141112814999784,0.3616469067113095,0.75,0.0,0.0,0.0,0.03804704959038645,0.0014993638513143507,
evinci,poker-8-9_vs_6,-,keel,0.9885521885521886,0.004567225577862165,0.8949106422229909,0.12385613927505769,0.6993150684931508,0.09020914586738683,0.761388469662449,0.1055218764900698,0.6149086389191407,0.14701494202927182,0.8878767123287672,0.0967286260473926,0.5583206695280499,0.20995407769004037,0.6664404094930412,0.21118251370618518,0.7967682961155939,0.03730797685352493,0.5236848021722362,0.2104392327736924,7.653688232193235,0.46997916285560537,
multirandbal,poker-8-9_vs_6,-,keel,0.9885521885521886,0.003433683174136588,0.8612485864059714,0.1958552304109512,0.6796575342465754,0.0979120549321282,0.7363907805584302,0.12737831025158797,0.5405004282699604,0.26035613001665575,0.8482191780821917,0.13017328260955896,0.5081305089941027,0.2672588923682008,0.47420358544024754,0.2515650021961777,0.7914526412084818,0.02862495138428501,0.47498810660949553,0.25174352072365686,0.11893417740939186,0.013608954808440826,
dpse,poker-8-9_vs_6,-,keel,0.983164983164983,0.002129479905837283,0.6925640933691781,0.1877970722724859,0.558972602739726,0.04885698585275832,0.5862230362566698,0.07476157876857578,0.28065985555053335,0.20336024180775158,0.7934246575342466,0.11769495192079166,0.2110065364591172,0.18219815576491888,0.24528686292404825,0.14086923830634168,0.7540839510227059,0.00498213242838539,0.17629599500952164,0.1474312079031715,0.07486859719501808,0.004090734550242763,
oremboost,poker-8-9_vs_6,-,keel,0.9986531986531986,0.0016494880422782269,0.9993174061433446,0.0008360033251819845,0.96,0.04898979485566354,0.9774358974358975,0.02763526889293843,0.9577708763999663,0.05171990255250274,0.9993150684931507,0.0013698630136985911,0.9571598240728381,0.052468285756305,0.9800000000000001,0.04000000000000003,0.9640000000000001,0.04409081537009713,0.9548803646031143,0.05526004205139415,1.6443931965972296,1.0320429408132117,
