Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std,Error
DEAHS,yeast1,-,keel,0.7425812175812176,0.0181096474391643,0.7077344987495923,0.0210892656474004,0.740665063115514,0.0290264319671004,0.7132348110025226,0.0223572333891987,0.739393712921687,0.0305308297590821,0.8066497883182813,0.0231445432317207,0.4471321063020493,0.0494609395022891,0.632143639018864,0.0303931117232411,0.7424571383142672,0.0270582991304271,0.4338863543288401,0.0455547294942995,80.16043961518444,0.3919904009542407,
s_smote,yeast1,-,keel,0.741894166894167,0.021825366382154,0.7012934278199712,0.024405889418224,0.7291967764731815,0.0284677661881978,0.7085890948836088,0.0256433906650702,0.7283727403189273,0.0291395736026482,0.7925612515479024,0.0186693257383639,0.4295838201269052,0.0527150031966475,0.6058505811018733,0.0251828465237388,0.730359165414359,0.0275477627727034,0.4217896957537567,0.0512150430956958,7.284405420371331,0.3857244632467574,
scut,yeast1,-,keel,0.6677905177905178,0.0396932539519909,0.6645603674813282,0.0193278744853636,0.6979349848613534,0.0233985360656659,0.6501489471886475,0.0336871661286227,0.6927084490129637,0.0280489448790416,0.7670885173202975,0.0263903437277513,0.3609488826466572,0.0424686393350041,0.5458038985073993,0.0605406929913004,0.7049639808020137,0.0180219642423698,0.330836233715632,0.050345999069847,1.722367818420753,0.0951373151365374,
mdo,yeast1,-,keel,0.7789767039767039,0.014519170034299,0.7367774538182449,0.0222370065652447,0.6909668635447125,0.0211488984779107,0.7048367907434523,0.0211456662963406,0.657865885436728,0.0288726184074037,0.7977156527771474,0.0226405360436249,0.4249977490864139,0.0405886649539105,0.6054941325380417,0.0290210319334066,0.7352281946532091,0.0147418407277612,0.4149325688414878,0.0410864597950652,0.13109922837466,0.0495071062902323,
smom,yeast1,-,keel,0.7688643188643189,0.022022719552995,0.7196106913861157,0.0276237400669612,0.7177349731913045,0.0263325257962123,0.7180220490203467,0.0262953025252004,0.7067105920179584,0.0299220464736379,0.8031570075401481,0.0250338719339938,0.4372100389577376,0.0528223121942176,0.6152509426863936,0.0307344330238264,0.7332366771124916,0.0229634306013349,0.4364394443023435,0.0526307065990535,1.8206539704231544,0.5721792691482195,
soup,yeast1,-,keel,0.7486509236509237,0.0198312818693494,0.7051121798630928,0.0233833517746747,0.7283842169073074,0.0306539438728568,0.7118237995574676,0.024946219990558,0.7257716706744681,0.0327762885083728,0.8034654858306158,0.0264207885580782,0.4328057221131834,0.0533996408919242,0.6204822785155659,0.0288841839238633,0.7320486455799464,0.0279102714020178,0.4268912016681288,0.0506645944608327,5.429269906785339,0.0906849886327936,
mc_rbo,yeast1,-,keel,0.783023933023933,0.0138194626974028,0.7392485600431506,0.0195630042396545,0.7063193314358698,0.0199327348790309,0.7177701530773282,0.0199963509712479,0.6817442089011632,0.0271761420258671,0.8009089023022413,0.0186190905066994,0.4441451367359513,0.0377113439468492,0.6164802015693249,0.0448705000445994,0.7400899342499587,0.0134929288892924,0.4384227426545189,0.0387180573237328,11.37867227899842,0.7804324236523648,
mc_ccr,yeast1,-,keel,0.7837132587132587,0.0200560778741661,0.7453670727934003,0.0305199277966533,0.6971492664077645,0.0183766467581753,0.7119192754921764,0.0215922992140283,0.6657276456651184,0.021728655371156,0.8066162045111221,0.0240971787871082,0.4396018026468615,0.0462782808473272,0.6276944769770196,0.0423887743028491,0.7398386345396635,0.0190785704368846,0.4288687814898541,0.0435158112984487,0.0847424730192869,0.003564735239214,
ocsv_us,yeast1,-,keel,0.5774774774774775,0.0163044738863746,0.607537029784905,0.0153010276050416,0.6268914879960581,0.0153294109442766,0.5670282611720235,0.0121099592980749,0.6133729813351099,0.0109641302193199,0.687095130347962,0.0194884297780624,0.2335997169201935,0.0305881460846114,0.449098291824245,0.031591333193427,0.6437727901744815,0.027449853001528,0.1976472433014838,0.0191230946375746,3.4330423390027134,0.3000713390815701,
shsampler,yeast1,-,keel,0.7553849303849304,0.0214257627180144,0.7124314828864755,0.0242164777173608,0.736567838642125,0.0306767754763086,0.7196442565899872,0.0259990390614465,0.734386189502573,0.0325650160821702,0.806122366945235,0.0224541705445056,0.4482948493090773,0.0543393759435452,0.6057589078297327,0.0294777191164935,0.7396575285131394,0.028280950364598,0.442397917212066,0.0522727338199562,0.079362010397017,0.0018626605828646,
mc_evhs,yeast1,-,keel,0.7297638547638547,0.0304211769620701,0.6949628678697414,0.0337087261616999,0.7268246445497629,0.0404148250684912,0.699900629600978,0.0353700544084542,0.7258217308714012,0.0413959017542439,0.7940939827931613,0.0298520041750041,0.4205607961546245,0.0737335005378383,0.5774147817805247,0.0550333035074578,0.7282012608727654,0.0391515725966515,0.4078005122262812,0.0708240179873439,0.1216295833699405,0.0271017433790282,
