Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std
mc_nro,glass,-,keel,0.813953488372093,0.0,0.8270487682252389,0.0,0.8234126984126985,0.0,0.8225188481028303,0.0,0.773568665723073,0.0,0.9454918126254332,0.0,0.7498151754441628,0.0,0.8441787126493553,0.0,0.7950840729011911,0.0,0.7448071216617211,0.0,0.03794499998912215,0.0
easy_bpnn,glass,-,keel,0.5116279069767442,0.0,0.7409722222222221,0.0,0.7286706349206349,0.0,0.6328353563647681,0.0,0.5469956492462146,0.0,0.8600852186340692,0.0,0.4608689840775336,0.0,0.7151235196240607,0.0,0.7192065742125394,0.0,0.40396039603960376,0.0,0.012705400004051626,0.0
amcs,glass,-,keel,0.7906976744186046,0.0,0.6538011695906433,0.0,0.5491071428571429,0.0,0.5696770662287903,0.0,0.0,0.0,0.958567614206982,0.0,0.7051408737463511,0.0,0.811852880932279,0.0,0.5069436955703505,0.0,0.7,0.0,0.1366058000130579,0.0
des_mi,glass,-,keel,0.627906976744186,0.0,0.7777777777777777,0.0,0.6498015873015873,0.0,0.6685964912280702,0.0,0.5738613752503079,0.0,0.9153264306999939,0.0,0.5111502142881019,0.0,0.8256583266627345,0.0,0.6167525355448693,0.0,0.47996976568405136,0.0,0.2658126999740489,0.0
drcw_aseg,glass,-,keel,0.6976744186046512,0.0,0.7129629629629629,0.0,0.5059523809523809,0.0,0.5504122103386809,0.0,0.0,0.0,0.8355675667457277,0.0,0.5688370891720461,0.0,0.6852377200536095,0.0,0.4573791441864102,0.0,0.5608798114689708,0.0,0.006106499989982694,0.0
pt_bagging,glass,-,keel,0.6976744186046512,0.0,0.7129629629629629,0.0,0.5059523809523809,0.0,0.5504122103386809,0.0,0.0,0.0,0.8368283616128444,0.0,0.5688370891720461,0.0,0.6813787426563724,0.0,0.4573791441864102,0.0,0.5608798114689708,0.0,0.006246800010558218,0.0
evinci,glass,-,keel,0.6744186046511628,0.0,0.6757448433919021,0.0,0.6676587301587302,0.0,0.6209409368011518,0.0,0.6061567029987441,0.0,0.9076064518952451,0.0,0.5707010425967695,0.0,0.738894998667056,0.0,0.6173946258523948,0.0,0.5615440640932265,0.0,0.014576199988368899,0.0
multirandbal,glass,-,keel,0.7209302325581395,0.0,0.6607142857142857,0.0,0.7162698412698413,0.0,0.6685786435786435,0.0,0.6803878944444266,0.0,0.9448310071154898,0.0,0.6178454030805389,0.0,0.827941862351001,0.0,0.6579527165272239,0.0,0.6169265033407573,0.0,0.21382040000753477,0.0
dpse,glass,-,keel,0.6976744186046512,0.0,0.7605820105820106,0.0,0.6622023809523809,0.0,0.6812499999999999,0.0,0.6069956788984552,0.0,0.9072222725599163,0.0,0.5832317587921443,0.0,0.7335601865978029,0.0,0.6070931159706945,0.0,0.5777945619335347,0.0,0.0644536999752745,0.0
oremboost,glass,-,keel,0.5813953488372093,0.0,0.6375000000000001,0.0,0.652281746031746,0.0,0.6147504456327986,0.0,0.0,0.0,0.8416465213160617,0.0,0.458721636278738,0.0,0.73123043530078,0.0,0.6247218390668847,0.0,0.44115523465703976,0.0,0.7976490000146441,0.0
